Tier,ProductCode,Product Description
0, Total,Total Trade
1,01,Live animals
2,0101,"Live horses, asses, mules and hinnies"
3,010111,Live pure bred breeding horses
3,010119,"Live horses, other than for pure-bred breeding"
3,010120,Live asses mules and hinnies
2,0102,Live bovine animals
3,010210,Live pure-bred breeding bovine animals
3,010290,"Live bovine animals, other than pure-bred breed"
2,0103,Live swine
3,010310,Live pure-bred breeding swine
3,010391,Live swine weighing <50kg (excl. pure-bred bree
3,010392,Live swine weighing >=50kg (excl. pure-bred bre
2,0104,Live sheep and goats
3,010410,Live sheep
3,010420,Live goats
2,0105,Live poultry
3,010511,"Live fowls of species Gallus domesticus, weighi"
3,010519,"Live ducks, geese, turkeys and guinea fowls, we"
3,010591,Live fowls of species Gallus domesticus (chicke
3,010599,"Live ducks, geese, turkeys and guinea fowls, we"
2,0106,"Other live animals, nes"
3,010600,"Other live animals, nes"
1,02,Meat and edible meat offal
2,0201,"Meat of bovine animals, fresh or chilled"
3,020110,Fresh or chilled bovine carcasses and half carc
3,020120,Fresh or chilled unboned bovine meat (excl. car
3,020130,Fresh or chilled boneless bovine meat
2,0202,"Meat of bovine animals, frozen"
3,020210,Frozen bovine carcasses and half carcasses
3,020220,Frozen unboned bovine meat (excl. carcasses)
3,020230,Frozen boneless bovine meat
2,0203,"Meat of swine, fresh, chilled or frozen"
3,020311,Fresh or chilled swine carcasses and half carca
3,020312,"Fresh or chilled unboned hams, shoulders and cu"
3,020319,"Fresh or chilled swine meat, nes (unboned)"
3,020321,Frozen swine carcasses and half carcasses
3,020322,"Frozen unboned hams, shoulders and cuts thereof"
3,020329,"Frozen swine meat, nes"
2,0204,"Meat of sheep or goats, fresh, chilled or froze"
3,020410,Fresh or chilled lamb carcasses and half carcas
3,020421,Fresh or chilled sheep carcasses and half carca
3,020422,Fresh or chilled unboned meat of sheep
3,020423,Fresh or chilled boneless meat of sheep
3,020430,Frozen lamb carcasses and half carcasses
3,020441,Frozen sheep carcasses and half carcasses (excl
3,020442,Frozen unboned meat of sheep
3,020443,Frozen boned meat of sheep
3,020450,"Fresh, chilled or frozen goat meat"
2,0205,"Meat of horses, asses, mules or hinnies, fresh,"
3,020500,"Meat of horses, asses, mules or hinnies, fresh,"
2,0206,"Edible offal of bovine animals..., fresh, chill"
3,020610,Fresh or chilled edible bovine offal
3,020621,Frozen bovine tongues
3,020622,Frozen bovine livers
3,020629,Frozen edible bovine offal (excl. tongues and l
3,020630,Fresh or chilled edible swine offal
3,020641,Frozen swine livers
3,020649,Frozen edible swine offal (excl. livers)
3,020680,"Fresh or chilled edible offal of sheep, goats,"
3,020690,"Frozen edible offal of sheep, goats, horses..."
2,0207,"Meat and edible offal of poultry, fresh, chille"
3,020710,Fresh or chilled whole poultry
3,020721,Frozen whole chickens
3,020722,Frozen whole turkeys
3,020723,"Frozen whole ducks, geese and guinea fowls"
3,020731,Fresh or chilled fatty livers of geese or ducks
3,020739,Fresh or chilled poultry cuts and offal (excl.
3,020741,Frozen cuts and offal of chicken (excl. livers)
3,020742,Frozen cuts and offal of turkey (excl. livers)
3,020743,"Frozen cuts and offal of geese, ducks and guine"
3,020750,Frozen poultry livers
2,0208,"Other meat and edible meat offal, fresh, chille"
3,020810,"Fresh, chilled or frozen meat and edible offal"
3,020820,"Fresh, chilled or frozen frogs' legs"
3,020890,"Fresh, chilled or frozen meat and edible offal,"
2,0209,"Pig and poultry fat, fresh, chilled, frozen, sa"
3,020900,"Pig and poultry fat, fresh, chilled, frozen, sa"
2,0210,"Meat and offal, salted... or smoked; flours..."
3,021011,"Unboned swine hams, shoulders and cuts thereof,"
3,021012,"Bellies and cuts thereof of swine, salted... or"
3,021019,"Meat of swine, salted... or smoked, nes"
3,021020,"Meat of bovine animals, salted... or smoked"
3,021090,"Other meat, nes, salted... or smoked; flours an"
1,03,"Fish & crustacean, mollusc & other  aquatic inv"
2,0301,Live fish
3,030110,Live ornamental fish
3,030191,Live trout
3,030192,Live eels
3,030193,Live carp
3,030199,Other live fish
2,0302,"Fish, fresh or chilled (excl. those of 03.04)"
3,030211,Fresh or chilled trout
3,030212,"Fresh or chilled Pacific, Atlantic and Danube s"
3,030219,Fresh or chilled salmonidae (excl. 0302.11 and
3,030221,Fresh or chilled halibut
3,030222,Fresh or chilled plaice
3,030223,Fresh or chilled sole
3,030229,"Fresh or chilled flat fish (excl. halibut, plai"
3,030231,Fresh or chilled albacore or longfinned tunas
3,030232,Fresh or chilled yellowfin tunas
3,030233,Fresh or chilled skipjack or stripe-bellied bon
3,030239,"Fresh or chilled tunas, nes"
3,030240,Fresh or chilled herrings (excl. livers and roe
3,030250,Fresh or chilled cod (excl. livers and roes)
3,030261,"Fresh or chilled sardines, brisling or sparts"
3,030262,Fresh or chilled haddock
3,030263,Fresh or chilled coalfish
3,030264,Fresh or chilled mackerel
3,030265,Fresh or chilled dogfish and other sharks
3,030266,Fresh or chilled eels
3,030269,"Fresh or chilled fish, nes"
3,030270,Fresh or chilled fish livers and roes
2,0303,"Fish, frozen, (excl. those of 03.04)"
3,030310,Frozen Pacific salmon
3,030321,Frozen trout
3,030322,Frozen Atlantic and Danube salmon
3,030329,"Frozen salmonidae (excl. Pacific, Atlantic, Dan"
3,030331,Frozen halibut
3,030332,Frozen plaice
3,030333,Frozen sole
3,030339,"Frozen flat fish (excl. halibut, plaice and sol"
3,030341,Frozen albacore or longfinned tunas
3,030342,Frozen yellowfin tunas
3,030343,Frozen skipjack or stripe-bellied bonito
3,030349,"Frozen tunas, nes"
3,030350,Frozen herrings (excl. livers and roes)
3,030360,Frozen cod (excl. livers and roes)
3,030371,"Frozen sardines, brisling or sprats"
3,030372,Frozen haddock
3,030373,Frozen coalfish
3,030374,Frozen mackerel
3,030375,Frozen dogfish and sharks
3,030376,Frozen eels
3,030377,Frozen sea-bass
3,030378,Frozen hake
3,030379,"Frozen fish, nes"
3,030380,Frozen fish livers and roes
2,0304,"Fish fillets and other fish meat, fresh, chille"
3,030410,Fresh or chilled fish fillets
3,030420,Frozen fish fillets
3,030490,Frozen fish meat (excl. fillets)
2,0305,"Fish,salted,dried...;smoked fish;fish flours, p"
3,030510,"Flours, meals and pellets of fish, fit for huma"
3,030520,"Livers and roes, dried, smoked, salted or in br"
3,030530,"Fish fillets, dried, salted or in brine, but no"
3,030541,"Smoked Pacific, Atlantic and Danube salmon (inc"
3,030542,Smoked herrings (incl. fillets)
3,030549,Smoked fish (excl. salmon and herrings)
3,030551,"Dried cod, not smoked"
3,030559,"Dried fish, not smoked (excl. cod)"
3,030561,Herrings salted or in brine but not dried or sm
3,030562,Cod salted or in brine but not dried or smoked
3,030563,Anchovies salted or in brine but not dried or s
3,030569,Other fish salted or in brine but not dried or
2,0306,"Crustaceans,fresh,chilled or frozen; flours,pel"
3,030611,Frozen rock lobster and other sea crawfish
3,030612,Frozen lobsters
3,030613,Frozen shrimps and prawns
3,030614,Frozen crabs
3,030619,"Frozen crustaceans,nes,including flours,meals &"
3,030621,Rock lobster and other sea crawfish (excl. froz
3,030622,Lobsters (excl.frozen)
3,030623,Shrimps and prawns (excl. frozen)
3,030624,Crabs (excl.frozen)
3,030629,"Crustaceans not frozen,nes,includ.flours,meals,"
2,0307,"Molluscs & aquatic invertebrates,nes;flours,mea"
3,030710,Oysters
3,030721,"Scallops, live, fresh or chilled"
3,030729,"Scallops (excl. live, fresh or chilled)"
3,030731,"Mussels, live, fresh or chilled"
3,030739,"Mussels (excl. live, fresh or chilled)"
3,030741,"Cuttle fish and squid, live, fresh or chilled"
3,030749,"Cuttle fish and squid (excl. live, fresh or chi"
3,030751,"Octopus live, fresh or chilled"
3,030759,"Octopus (excl. live, fresh or chilled)"
3,030760,Snails other than sea snails
3,030791,"Aquatic invertebrates, nes, live, fresh or chil"
3,030799,"Aquatic invertebrates,nes,includ.flours,meals,p"
1,04,Dairy prod; birds' eggs; natural honey;  edible
2,0401,"Milk and cream, not concentrated or sweetened"
3,040110,"Milk and cream of =<1% fat, not concentrated or"
3,040120,"Milk and cream of >1% but =<6% fat, not concent"
3,040130,"Milk and cream of >6% fat, not concentrated or"
2,0402,"Milk and cream, concentrated or sweetened"
3,040210,Milk and cream in solid forms of =<1.5% fat
3,040221,"Milk and cream in solid forms of >1.5% fat, uns"
3,040229,"Milk and cream in solid forms of >1.5% fat, swe"
