Tariff item number,,,Description of goods,Product specific rules
Section I Live animals; animal products (chapter 1-5),,,,
Chapter 1,,,Live animals,CC
Chapter 2,,,Meat and edible meat offal,"CC, except from chapter 1"
Chapter 3,,,"Fish and crustaceans, molluscs and other Aquatic Invertebrates",CC
Chapter 4,,,"Dairy produce; birds’ eggs; natural honey; edible products of animal origin, not elsewhere specified or included",CC
Chapter 5,,,"Products of animal origin, not elsewhere specified or included",CC
Section II Vegetable products (chapter 6-14),,,,
Chapter 6,,,"Live trees and other plants; bulbs, roots and the like; cut flowers and
 ornamental foliage",CC
Chapter 7,,,Edible vegetables and certain roots and tubers,CC
Chapter 8,,,Edible fruit and nuts; peel of citrus fruit or melons,CC
Chapter 9,,,"Coffee, tea, maté and spices",
,9.01,,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",
,,,"- Coffee, not roasted:",
,,901.11,-- Not decaffeinated,CC
,,901.12,-- Decaffeinated:,CC
,,,"- Coffee, roasted:",
,,901.21,-- Not decaffeinated,RVC 40%
,,901.22,-- Decaffeinated,RVC 40%
,,901.9,- Other,CC
,9.02,,"Tea, whether or not flavoured.",CC
,9.03,903,Maté,CC
,9.04,,Pepper of the genusPiper; dried or crushed or ground fruits of the genus Capsicum or the genus Pimenta.,
,,,- Pepper,
,,904.11,-- Neither crushed nor ground,CC
,,904.12,-- Crushed or ground,CTSH
,,904.2,"- Fruits of the genus Capsicumor of the genus Pimenta, dried or crushed or ground",CC
,9.05,905,Vanilla.,CC
,9.06,,Cinnamon and cinnamon-tree flowers.,
,,906.1,- Neither crushed nor ground,CC
,,,,
,,906.2,- Crushed or ground,CTSH
,9.07,907,"Cloves (whole fruit, cloves and stems).",CC
,9.08,,"Nutmeg, mace and cardamoms.",CC
,9.09,,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.",CC
,9.1,,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices.",
,,910.1,- Ginger,CC
,,910.2,- Saffron,CC
,,910.3,- Turmeric (curcuma),CC
,,910.4,- Thyme; bay leaves,CC
,,910.5,- Curry,CTSH
,,,- Other spices,
,,910.91,-- Mixtures referred to in Note 1(b) to this Chapter,CTSH
,,910.99,-- Other,CC
Chapter 10,,,Cereals,CC
Chapter 11,,,Productsof the milling industry; malt; starches; inulin; wheat gluten,
,11.01,1101,Wheat or meslin flour.,CC
,11.02,,Cereal flours other than of wheat or meslin.,CC
,11.03,,"Cereal groats, meal and pellets.",CC
,11.04,,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground.",CC
,11.05,,"Flour, meal, powder, flakes, granules and pellets of potatoes.",
,,1105.1,"- Flour, meal and powder",CC except from chapter 7.
,,1105.2,"- Flakes, granules and pellets",CC except from chapter 7.
,11.06,,"Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading
 07.14 or of the products of Chapter 8.",
,,1106.1,- Of the dried leguminous vegetables of heading 07.13,CC
,,1106.2,"- Of sago or of roots or tubers of heading
 07.14",CC except from chapter 7.
,,1106.3,- Of the products of Chapter 8,CC except from chapter 8.
,11.07,,"Malt, whether or not roasted",CC
,11.08,,Starches; inulin.,CC
,11.09,1109,"Wheat gluten, whether or not dried.",CC
Chapter 12,,,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw",CC
,,,,
,,,and fodder,
Chapter 13,,,"Lac; gums, resins and other vegetable saps and extracts",CC
Chapter 14,,,"Vegetable plaiting materials; vegetable products not elsewhere
 specified or included",CC
Section III Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes (chapter 15),,,,
Chapter 15,,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,
,15.01,1501,"Pig fat (including lard) and poultry fat, other than that of heading 02.09 or 15.03.",CC
,15.02,1502,"Fats of bovine animals, sheep or goats, other than those of heading 15.03.",CC
,15.03,1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",CC
,15.04,,"Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.",CC
,15.05,1505,Wool grease and fatty substances derived therefrom (including lanolin).,CC
,15.06,1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",CC
,15.07,,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",CC
,15.08,,"Ground-nut oil and its fractions, whether or not refined, but not chemically modified.",
,,1508.1,- Crude oil,CC
,,1508.9,- Other,CTSH
,15.09,,"Olive oil and its fractions, whether or not refined, but not chemically modified:",
,,1509.1,- Virgin,CC
,,1509.9,- Other,CTSH
,15.1,1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09.",CC
,15.11,,"Palm oil and its fractions, whether or not refined, but not chemically modified.",CC
,15.12,,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not",
,,,,
,,,chemically modified.,
,,,- Sunflower-seed or safflower oil and fractions thereof:,
,,1512.11,-- Crude oil,CC
,,1512.19,-- Other,CTSH
,,,- Cotton-seed oil and its fractions:,
,,1512.21,"-- Crude oil, whether or not gossypol has been removed",CC
,,1512.29,-- Other,CC
,15.13,,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.",CC
,15.14,,"Rape, colza ormustard oil and fractions thereof, whether or not refined, but not chemically modified.",CC
,15.15,,"Other fixed vegetable fats and oils
 (including jojoba oil) and their fractions, whether or not refined, but not chemically modified.",CC
,15.16,,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared.",CTH
,15.17,,"Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this Chapter, other than edible fats or oils or their fractions of heading 15.16.",CTH
,15.18,1518,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading
 15.16; inedible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this Chapter, not elsewhere specified or included.",CTH
,15.2,1520,"Glycerol, crude; glycerol waters and glycerol lyes.",CTH
,15.21,,"Vegetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti, whether or not refined or coloured.",CTH
,15.22,1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,CTH
,,,,
"Section IV Prepared foodstuffs; beverages, spirits and vinegar; tobacco and
 manufactured tobacco substitutes (chapter 16-24)",,,,
Chapter 16,,,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",
,16.01,1610,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products.",CC except from chapter 1 or 2.
,16.02,,"Other prepared or preserved meat, meat offal or blood.",
,,1602.1,- Homogenised preparations,CC except from chapter 1 or 2.
,,1602.2,- Of liver of any animal:,CC
,,,- Of poultry of heading 01.05:,
,,1602.31,-- Of turkeys,CC except from chapter 1 or 2.
,,1602.32,"-- Of fowls of the species Gallus
 domesticus",CC
,,1602.39,-- Other,CC
,,,- Of swine:,
,,1602.41,-- Hams and cuts thereof,CC except from chapter 1 or 2.
,,1602.42,-- Shoulders and cuts thereof,CC except from chapter 1 or 2.
,,1602.49,"-- Other, including mixtures",CC except from chapter 1 or 2.
,,1602.5,- Of bovine animals,CC except from chapter 1 or 2.
,,1602.9,"- Other, including preparations of blood of any animal",CC
,16.03,1603,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates.",CC
