Tariff item number,,,Description of goods,Product specific rules
Section I Live animals; animal products (Chapter 1-5),,,,
Chapter 1,,,Live animals,CC
Chapter 2,,,Meat and edible meat offal,CC except from Chapter 1.
Chapter 3,,,"Fish and crustaceans, mollusks and other aquatic invertebrates",CC
Chapter 4,,,"Dairy produce; birds’ eggs; natural honey; edible products of animal origin, not elsewhere specified or included",CC
Chapter 5,,,"Products of animal origin, not elsewhere specified or included",CC
Section II Vegetable products (Chapter 6-14),,,,
Chapter 6,,,"Live trees and other plants; bulbs, roots and the like; cut flowers and
 ornamental foliage",CC
Chapter 7,,,Edible vegetables and certain roots and tubers,CC
Chapter 8,,,Edible fruit and nuts; peel of citrus fruit or melons,
,8.01,,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled.",
,,,- Coconuts:,
,,801.11,-- Desiccated,CC
,,801.19,-- Other,CC
,,,- Brazil nuts:,
,,801.21,-- In shell,CC
,,801.22,-- Shelled,CC
,,,- Cashew nuts:,
,,801.31,-- In shell,CC
,,801.32,-- Shelled,CTSH
,8.02,,"Other nuts, fresh or dried, whether or not shelled or peeled.",CC
,8.03,803,"Bananas, including plantains, fresh or dried.",CC
,8.04,,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried.",CC
,8.05,,"Citrus fruit, fresh or dried.",CC
,8.06,,"Grapes, fresh or dried.",CC
,8.07,,"Melons (including watermelons) and papaws (papayas), fresh.",CC
,8.08,,"Apples, pears and quinces, fresh.",CC
,8.09,,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh.",CC
,,,,
,8.1,,"Other fruit, fresh.",CC
,8.11,,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.",CC
,8.12,,"Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.",CC
,8.13,,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.",CC
,8.14,814,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved inbrine, in sulphur water or in other preservative solutions.",CC
Chapter 9,,,"Coffee, tea, maté and spices",
,9.01,,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",CC
,9.02,,"Tea, whether or not flavored.",CC
,9.03,903,Maté.,CC
,9.04,,Pepper of the genusPiper; dried or crushed or ground fruits of the genus Capsicum or the genus Pimenta.,CC
,9.05,905,Vanilla.,CC
,9.06,,Cinnamon and cinnamon-tree flowers.,CC
,9.07,907,"Cloves (whole fruit, cloves and stems).",CC
,9.08,,"Nutmeg, mace and cardamoms.",CC
,9.09,,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.",CC
,9.1,,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices.",
,,910.1,- Ginger,CC
,,910.2,- Saffron,CC
,,910.3,- Turmeric (curcuma),CC
,,,- Other spices：,
,,910.91,-- Mixtures referred to in Note 1(b) to this Chapter,CC
,,910.99,-- Other,"CTSH for
 Curry. CC for any other good."
Chapter 10,,,Cereals,CC
Chapter 11,,,Products of the milling industry; malt; starches; inulin; wheat gluten,
,,,,
,11.01,1101,Wheat or meslin flour.,CC
,11.02,,Cereal flours other than of wheat or meslin.,CC
,11.03,,"Cereal groats, meal and pellets.",CC
,11.04,,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground.",CC
,11.05,,"Flour, meal, powder, flakes, granules and pellets of potatoes.",CC except from Chapter 7.
,11.06,,"Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading
 07.14 or of the products of Chapter 8.",
,,1106.1,- Of the dried leguminous vegetables of heading 07.13,CC
,,1106.2,"- Of sago or of roots or tubers of heading
 07.14",CC except from Chapter 7.
,,1106.3,- Of the products of Chapter 8,CC except from Chapter 8.
,11.07,,"Malt, whether or not roasted.",CC
,11.08,,Starches; inulin.,CC
,11.09,1109,"Wheat gluten, whether or not dried.",CC
Chapter 12,,,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",CC
Chapter 13,,,"Lac; gums, resins and other vegetable saps and extracts",CC
Chapter 14,,,"Vegetable plaiting materials; vegetable products not elsewhere
 specified or included",CC
Section III Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes (Chapter 15),,,,
Chapter 15,,,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,
,15.01,1501,"Pig fat (including lard) and poultry fat, other than that of heading 02.09 or 15.03.",CC
,15.02,1502,"Fats of bovine animals, sheep or goats, other than those of heading 15.03.",CC
,15.03,1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",CC
,15.04,,"Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.",CC
,15.05,1505,Wool grease and fatty substances derived therefrom (including lanolin).,CC
,15.06,1506,Other animal fats and oils and their,CC
,,,,
,,,"fractions, whether or not refined, but not chemically modified.",
,15.07,,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",
,,1507.1,"- Crude oil, whether or not degummed",CC
,,1507.9,- Other,CTSH
,15.08,,"Ground-nut oil and its fractions, whether or not refined, but not chemically modified.",CC
,15.09,,"Olive oil and its fractions, whether or not refined, but not chemically modified.",
,,1509.1,- Virgin,CC
,,1509.9,- Other,CTSH
,15.1,1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09.",CC
,15.11,,"Palm oil and its fractions, whether or not refined, but not chemically modified.",
,,1511.1,- Crude oil,CC
,,1511.9,- Other,CTSH
,15.12,,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified.",CC
,15.13,,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.",
,,,- Coconut (copra) oil and its fractions:,
,,1513.11,-- Crude oil,CC
,,1513.19,-- Other,CTSH
,,,- Palm kernel or babassu oil and fractions thereof:,
,,1513.21,-- Crude oil,CC
,,1513.29,-- Other,CTSH
,15.14,,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.",CC
,15.15,,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified.",
,,,- Linseed oil and its fractions:,
,,1515.11,-- Crude oil,CC
,,1515.19,-- Other,CC
,,,- Maize (corn) oil and its fractions:,
,,,,
,,1515.21,-- Crude oil,CC
,,1515.29,-- Other,CC
,,1515.3,- Castor oil and its fractions,CTSH
,,1515.5,- Sesame oil and its fractions,CC
,,1515.9,- Other,CTSH for Tung oil and its fractions. CC for any other goods.
,15.16,,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinized, whether or not refined, but not further prepared.",CTH
,15.17,,"Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this Chapter, other than edible fats or oils or their fractions of heading 15.16.",CTH
,15.18,1518,"Animal or vegetable fats and oils and their fractions, boiled, oxidized, dehydrated, sulphurized, blown, polymerized by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading
 15.16; inedible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this Chapter, not elsewhere specified or included.",CTH
,15.2,1520,"Glycerol, crude; glycerol waters and glycerol lyes.",CTH
,15.21,,"Vegetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti, whether or not refined or colored.",CTH
